fakeSinglePredictor0,Arizona,California,Colorado,Connecticut,Florida,Georgia,Idaho,Illinois,Indiana,Louisiana,Mississippi,Nebraska,Nevada,New Mexico,New York,North Dakota,Ohio,South Dakota,Texas,Utah,Wisconsin
Mississippi,0.45477594166603874,0.043649718409945026,0.3295297956267641,0.2941954157074007,0.8837662814950524,0.2536798061656875,0.619478247833737,0.37460368484569073,0.4898673556228913,0.05609446173262744,0,0.35829531595215414,0.8018644421583851,0.09880315500365244,0.7283567853634647,0.9322129207180092,0.6497171519327654,0.8673838524307006,0.55738247378512,0.11923639133653952,0.0021964678696149154,0.7185783375408435
Nebraska,0.9731338467116241,0.6339786669693616,0.07428063894449444,0.9586562949323373,0.6617405329677408,0.306819497779395,0.13387409016094443,0.08973623278228782,0.2018511179870075,0.8801978758649738,0.4679049168302235,0,0.19344778177809496,0.30355027792577116,0.12535586774771423,0.8095770401175386,0.646298239278212,0.7684282056825672,0.7036693153790484,0.22149980849476902,0.5525343648605755,0.9392585023555743
Nevada,0.5797138798277154,0.6799991575180948,0.6168310649914746,0.8557067546482686,0.4897823438565859,0.007658370461030128,0.17388502448693177,0.6042498337713086,0.2563682119902613,0.31310391819240724,0.2138293956192865,0.281273982862724,0,0.21640110968538084,0.6673653940813454,0.8868720581080063,0.18408583107690513,0.9047477405776606,0.9876788523105453,0.9246197077098486,0.0706637334779261,0.4071568506434684
New Mexico,0.6582406872426253,0.7115560599809594,0.893037615693398,0.9100345027105365,0.16685163812089998,0.5443094977912336,0.9052313699976635,0.0887367479503518,0.42194504100394425,0.44778145381650025,0.8839076759593153,0.39392652664922045,0.7153496779016941,0,0.8094125497841836,0.7082084144671852,0.9441862832575199,0.39018111791933874,0.7647732122771879,0.33807190319282787,0.8318000729796894,0.09084637225355363
New York,0.011702385751864997,0.1752353732287275,0.358317866300621,0.9354094384144714,0.040758962030704615,0.903808882622206,0.10432517191364044,0.4577887021818672,0.39810424777291475,0.33319720668612207,0.676071738667959,0.150264680435805,0.17089932931871654,0.8693907961329782,0,0.260932034285824,0.4340832647818106,0.4008727155536925,0.37203292573969693,0.9810583983600077,0.8648420938994985,0.4044943642752564
North Dakota,0.36960645589126306,0.2612954198571995,0.46457669568720017,0.4027846494325159,0.20070359144662286,0.8930342049578925,0.8830109660213986,0.3307228216427974,0.4457146891514604,0.10529887015148987,0.5505618481208467,0.27471926439743444,0.03780594198534892,0.7900212589883733,0.8513012493364647,0,0.49441492227348316,0.32163048661121263,0.5673854206036105,0.6890844768390676,0.5541995978263079,0.0988231672001686
Ohio,0.15609267702399576,0.595321250113402,0.8313003149165096,0.252052985133002,0.44330401409227094,0.5720476817665874,0.6663683356316806,0.17308023580918752,0.15494488775545834,0.660954818555793,0.726543279039444,0.6841179885510679,0.8257441954889289,0.5369991046721448,0.4848952346363383,0.47613584470977155,0,0.7691705607360536,0.8510143644149001,0.32136900211214525,0.10137919774999093,0.07036442032005596
South Dakota,0.33285623084209637,0.8087245171925991,0.19967527634797133,0.4258937582444682,0.6257383249528274,0.27308363358959553,0.5257078830670071,0.047821259520723136,0.8880903675526982,0.3877872095932199,0.41422140207367264,0.07250248100353296,0.12373628692177208,0.15987314096898853,0.3313386559859043,0.5777341225071903,0.9767186901447514,0,0.5942480896601539,0.293121006849004,0.9292163494223854,0.46104677504174063
Texas,0.12031736767859258,0.2123580492702246,0.5648925983273876,0.24920428094624125,0.983806220420766,0.6487488802871048,0.031018546404651626,0.4822432577090856,0.8804501399240781,0.6304806561684365,0.42173233178189484,0.6785568253602142,0.4381540765391011,0.9838861846583792,0.864275838718429,0.8899245897955552,0.40307552200928887,0.9572564175972547,0,0.7488207319714683,0.8959660304065076,0.6535299804242758
Utah,0.861430949692837,0.029122415292819448,0.4935757272789165,0.6737099865161676,0.45395057394202254,0.2364910058509655,0.7549916239659832,0.021657029196553546,0.46168034635214306,0.9789741376041751,0.9750567888352066,0.5458405088087797,0.7592094210927122,0.2882663238213228,0.04631522213466466,0.5030571753234092,0.14159642267535844,0.06106261068546048,0.6131554697702044,0,0.6441300117202744,0.3412296404262857
Wisconsin,0.27286393729837444,0.11313350241425224,0.7559975078471204,0.7741297384637736,0.6106784157144389,0.5550045291955704,0.39394278711415087,0.7543791632901569,0.2086931045572592,0.24957134008947868,0.33627397760446476,0.8548970156657497,0.23355080777741055,0.5046103247029028,0.5875267451743034,0.5350943020842832,0.6519934686882716,0.42510784466926077,0.21663609179877563,0.47837926902677164,0,0.55490938669822
